texte,mot_errone,mot_corrige,position_mot,difficulte,temps_limite,groupe
"Ce Pokémon crache des flammes qui sont extrement puissantes","extrement","extrêmement",7,3,20,
"Il possède une carapace qui le protege de toutes les attaques","protege","protège",6,3,20,
"Ses ailes lui permettent de volé à une vitesse incroyable","volé","voler",5,2,20,
"Ce Pokémon ce nourrit exclusivement de lumière solaire","ce","se",2,5,20,
"Il a été aperçu dans les forêts humide du nord","humide","humides",3,5,20,
"Ses attaques sont tellement puissante qu'on ne peut pas les esquiver","puissante","puissantes",3,3,20,
"Ce Pokémon légendaire a vécut plus de mille ans dans les montagnes","vécut","vécu",4,5,20,
"Il projette des éclairs sur ces ennemis pendant la nuit","ces","ses",5,5,20,
"Sa queue lui sert a se défendre contre les prédateurs","a","à",5,4,20,
"Ce Pokémon s'est adapter parfaitement à son environnement glacial","adapter","adapté",3,4,20,
"Il dort pendant l'hiver et se réveille au printant","printant","printemps",8,3,20,
"Ses cris résonnent dans les vallé et effraient ses adversaires","vallé","vallées",5,3,20,
"Ce Pokémon peut soulevé des rochers de plusieurs tonnes","soulevé","soulever",3,4,20,
"Il a développer un sixième sens pour détecter ses proies","développer","développé",2,8,20,
"Ses écailles sont aussi dur que du diamant.","dur","dures",2,4,20,"g004"
"Ses écailles son aussi dures que du diamant.", "son", "sont", 2, 2, 20,"g004"
"Ses écailles sont aussi dures que du diament.", "diament", "diamant", 4, 7, 20,"g004"
"Ses écailles sont auçi dures que du diament.", "auçi", "aussi", 1, 3, 20,"g004"
"Ses écailles sont ossi dures que du diament.", "ossi", "aussi", 1, 3, 20,"g004"
"Ses ecailles sont aussi dures que du diament.", "ecailles", "écailles", 4, 1, 20,"g004"
"Ce Pokémon féroce chasse toujours seul dans les plaines ouvert","ouvert","ouvertes",9,6,20,
"Il génère un champ magnétique qui pertube les appareils électroniques","pertube","perturbe",6,7,20,
"Sa mâchoire est si puissant qu'elle peut broyer du métal","puissant","puissante",4,7,20,
"Ce Pokémon communique avec ces congénères grâce à des ultrasons","ces","ses",4,5,20,
"Il pond ses oeufs dans les rivières pour que le courant les emportent","emportent","emporte",12,8,20,
"Sa peau change de couleurs selon les émotions qu'il ressent","couleurs","couleur",4,4,20,
"Ce Pokémon est capable de courrire à cent kilomètres par heure","courrire","courir",5,8,20,
"Il stocke de l'énergie dans sa queue et la relache pendant les combats","relache","relâche",7,6,20,
"Ses yeux lui permettent de voire dans le noir le plus complet","voire","voir",5,5,20,
"Ce Pokémon a mit des années à maîtriser ses pouvoirs psychiques","mit","mis",3,8,20,
"Il peux se rendre invisible en modifiant la lumière autour de lui","peux","peut",1,3,20,
"Sa salive est un poisson puissant qui paralyse ses ennemis en quelques secondes","poisson","poison",4,2,20,"g001"
"Sa salive est un poison puissent qui paralyse ses ennemis en quelques secondes","puissent","puissant",5,2,20,"g001"
"Sa salive est un poison puissant qui paralise ses ennemis en quelques secondes","paralise","paralyse",7,3,20,"g001"
"Sa salive est un poison puissant qui paralyse ses enemis en quelques secondes","enemis","ennemis",9,4,20,"g001"
"Sa salive est un poison puissant qui paralysent ses ennemis en quelques secondes","paralyse","paralysent",7,3,20,"g001"
"Ce Pokémon vit en groupe qui défent ensemble son territoire","défent","défend",6,6,20,"g002"
"Ce Pokémon vit en groupe qui défend ensamble son territoire","ensamble","ensemble",7,3,20,"g002"
"Ce Pokémon vit en groupe qui défend ensemble son teritoire","teritoire","territoire",9,4,20,"g002"
"Ce Pokémon vie en groupe qui défend ensemble son territoire","vie","vit",2,5,20,"g002"
"Il absorbe la chaleur du soleil et la restitut sous forme d'énergie","restitut","restitue",8,8,20,
"Ses tentacules peuvent s'étirer jusqu à dix fois leurs longeur initiale","longeur","longueur",9,6,20,
"Ce Pokémon est redouté de tous ses adversaires car il ne ce fatigue jamais","ce","se",11,5,20,
